prayer_id,username,marked_at,note
2316a1c9ff24490290cff8e91073ad22,Esmony,2025-11-10 16:05:13,complete
2316a1c9ff24490290cff8e91073ad22,ilyag,2025-11-10 16:05:09,complete
2316a1c9ff24490290cff8e91073ad22,Nelson,2025-11-10 16:05:07,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-11-10 16:09:09,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-11-10 16:09:07,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-11-08 15:46:56,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-30 16:16:54,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-30 16:15:56,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-24 17:17:12,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-24 17:17:12,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-24 17:17:11,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-21 17:12:24,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-21 17:12:23,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-20 17:21:43,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-20 17:21:42,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-18 17:34:50,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-18 17:34:50,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-18 17:34:49,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-09 16:50:27,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-09 16:50:18,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-08 17:22:28,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-07 17:25:18,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-07 17:25:17,complete
20956027ab50484aa8b71a17be2bac29,Wigglytuff,2025-10-06 18:56:54,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-06 17:35:59,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-06 17:35:51,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-06 17:35:51,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-04 17:18:07,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-04 17:18:06,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-03 17:17:21,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-03 17:17:20,complete
20956027ab50484aa8b71a17be2bac29,Esmony,2025-10-03 17:17:19,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-02 17:18:13,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-02 17:16:49,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-02 17:16:38,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-10-01 20:13:58,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-10-01 20:13:57,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-30 20:24:08,complete
20956027ab50484aa8b71a17be2bac29,Nelson,2025-09-30 20:24:07,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-29 18:13:05,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-27 18:14:03,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-25 16:44:48,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-24 17:35:49,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-23 22:15:59,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-22 16:05:05,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-20 22:21:54,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-18 19:04:19,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-17 19:57:02,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-17 01:11:31,complete
20956027ab50484aa8b71a17be2bac29,michaelweagley,2025-09-13 16:45:25,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-13 16:45:22,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-12 18:23:06,complete
20956027ab50484aa8b71a17be2bac29,ilyag,2025-09-11 23:51:30,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-11-10 16:15:33,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-11-10 16:15:33,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-11-10 16:15:14,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-11-08 15:52:13,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-11-01 16:52:53,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-11-01 16:52:52,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-11-01 16:52:51,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-30 16:22:28,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-24 17:24:39,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-24 17:24:37,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-24 17:23:23,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-21 17:18:55,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-21 17:18:54,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-20 17:28:23,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-20 17:28:22,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-18 17:42:19,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-18 17:42:19,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-18 17:42:17,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-09 16:57:16,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-09 16:57:15,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-09 16:57:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-09 16:57:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-08 17:29:57,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-08 17:29:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-07 17:32:42,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-07 17:32:42,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-07 17:32:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-07 17:32:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-06 17:43:27,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-06 17:43:24,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-06 17:43:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-06 17:43:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-04 17:26:07,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-04 17:26:05,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-04 17:26:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-04 17:26:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-03 17:24:13,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-03 17:24:11,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-03 17:24:11,complete
793adcde65634ffe8ab3058da4dab295,Esmony,2025-10-03 17:24:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-03 17:24:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-03 17:24:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-02 17:24:12,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-02 17:24:11,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-10-02 17:24:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-10-02 17:24:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-09-30 20:30:53,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-30 20:30:53,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-30 20:30:00,complete
793adcde65634ffe8ab3058da4dab295,Nelson,2025-09-30 20:30:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-27 18:21:28,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-27 18:21:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-25 16:51:26,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-25 16:51:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-24 17:44:32,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-24 17:44:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-23 22:24:24,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-23 22:24:00,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-22 16:13:23,complete
793adcde65634ffe8ab3058da4dab295,ilyag,2025-09-22 16:13:00,complete
